"Type Ligne","Identifiant de l'élément","Structure","Type de l'élément","Statut de l'élément","Nom base français","Nom base anglais","Nom base espagnol","Nom attribut français","Nom attribut anglais","Nom attribut espagnol","Nom frontière français","Nom frontière anglais","Code de la catégorie","Tags français","Tags anglais","Tags espagnol","Unité français","Unité anglais","Contributeur","Autres Contributeurs","Programme","Url du programme","Source","Localisation géographique","Sous-localisation géographique français","Sous-localisation géographique anglais","Sous-localisation géographique espagnol","Date de création","Date de modification","Période de validité","Incertitude","Réglementations","Transparence","Qualité","Qualité TeR","Qualité GR","Qualité TiR","Qualité C","Qualité P","Qualité M","Commentaire français","Commentaire anglais","Type poste","Nom poste français","Nom poste anglais","Nom poste espagnol","Total poste non décomposé","CO2f","CH4f","CH4b","N2O","Code gaz supplémentaire 1","Valeur gaz supplémentaire 1","Code gaz supplémentaire 2","Valeur gaz supplémentaire 2","Valeur gaz supplémentaire 3","Valeur gaz supplémentaire 4","Code gaz supplémentaire 5","Valeur gaz supplémentaire 5","Autres GES","CO2b"
"Elément","23256","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guyane","Guyane",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,435,,,,,,,,,,,,,,
"Elément","23257","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","La Réunion","La Réunion",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,623,,,,,,,,,,,,,,
"Elément","23258","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guadeloupe","Guadeloupe",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,506,,,,,,,,,,,,,,
"Elément","23259","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Martinique","Martinique",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,
"Elément","23260","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - GPL - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Nouvelle-Calédonie","Nouvelle-Calédonie",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,492,,,,,,,,,,,,,,
"Elément","23175","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - réseau de chaleur - chauffage",,"Statistiques territoriales > Résidentiel > Chauffage > Consommation",,,,"kWh / (m².an)","kWh / (m².an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,
"Elément","23236","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - réseau de chaleur - ECS",,"Statistiques territoriales > Résidentiel > Eau chaude sanitaire > Consommation",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"France continentale",,,,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2379,,,,,,,,,,,,,,
"Elément","23306","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","La Réunion","La Réunion",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,1422,,,,,,,,,,,,,,
"Elément","23307","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Guadeloupe","Guadeloupe",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2029,,,,,,,,,,,,,,
"Elément","23308","élément non décomposé","Données source","Valide générique","Résidentiel, appartement",,,"construits avant 1975",,,"consommation moyenne annuelle - toute énergie confondue",,"Statistiques territoriales > Résidentiel > Consommation totale",,,,"kWh / (logement.an)","kWh / (logement.an)","ADEME",,,,,"Outre-mer","Martinique","Martinique",,"2014-11-06","2014-11-06","déc-17",30,,,,,,,,,,,,,,,,2119,,,,,,,,,,,,,,
